商品CD,呼び径1,呼び径2,呼び径3,年号,倉庫部門CD,年月度,現在庫_完成品数,現在庫_出荷予定数,最終更新日,最終更新時刻
asdfasd
KS2EA000     ,  75,    ,   ,2023,3,00000000,1,0,20241213,010608
GGHE 000     , 250,    ,   ,2023,1,00000000,0,0,20241213,010330
FSPEA000     ,  75, 300,   ,2023,31,00000000,0,0,20241213,010238
KS2EA000     , 100,    ,   ,2023,3,00000000,1,6,20241213,010609
ZPFER000     ,  50,  50,   ,2023,3,00000000,0,0,20241213,010821
G45E 000     , 300,    ,   ,2023,2,00000000,0,0,20241213,010317
G90E 000     , 300,    ,   ,2023,2,00000000,0,0,20241213,010320
GJRE 000     , 300,    ,   ,2023,2,00000000,0,0,20241213,010340
PRGB 000     , 300,    ,   ,2023,2,00000000,0,0,20241213,010744
1RG  000     , 300,    ,   ,2023,2,00000000,0,0,20241213,010048
3UT  000     , M20, 110,   ,2023,2,00000000,0,0,20241213,010102
GVTEA000     , 150,  75,   ,2023,1,00000000,0,0,20241213,010352
G11E 000     , 150,    ,   ,2023,1,00000000,0,0,20241213,010311
G05E 000     , 150,    ,   ,2023,1,00000000,3,0,20241213,010309
GGSE 000     , 200, 150,   ,2023,1,00000000,0,0,20241213,010331
GGTE 000     , 100, 100,   ,2023,1,00000000,0,0,20241213,010334
GGTE 000     , 150,  75,   ,2023,1,00000000,0,0,20241213,010334
GSPE 000     , 150,    ,   ,2023,1,00000000,0,0,20241213,010349
K45E 000     , 200,    ,   ,2023,3,00000000,1,4,20241213,010421
K45E 000     ,  75,    ,   ,2023,3,00000000,14,0,20241213,010420
K22E 000     , 150,    ,   ,2023,3,00000000,0,0,20241213,010411
K22E 000     ,  75,    ,   ,2023,3,00000000,0,0,20241213,010410
KKSE 000     , 100,  75,   ,2023,3,00000000,0,0,20241213,010507
KKUE 000     , 100,  75,   ,2023,3,00000000,0,0,20241213,010530
G05E 000     , 100,    ,   ,2023,3,00000000,0,0,20241213,010308
GG4D 000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010326
